2026-06-12 16:46:04,760 | INFO | celeba_ood | ======================================================================
2026-06-12 16:46:04,760 | INFO | celeba_ood | Ensemble experiment : celeba_ood
2026-06-12 16:46:04,760 | INFO | celeba_ood | Config              : configs/celeba_ood.yaml
2026-06-12 16:46:04,760 | INFO | celeba_ood | Output dir          : outputs/celeba_ood/ensemble_20260612_164529_6508484
2026-06-12 16:46:04,760 | INFO | celeba_ood | Device              : cuda
2026-06-12 16:46:04,760 | INFO | celeba_ood | Ensemble size       : 10   seeds = [42, 43, 44, 45, 46, 47, 48, 49, 50, 51]
2026-06-12 16:46:04,761 | INFO | celeba_ood | Decomposition agg   : p95
2026-06-12 16:46:04,796 | INFO | celeba_ood | GPU                 : Tesla V100-PCIE-16GB  (torch 2.5.1+cu121, cuda 12.1)
2026-06-12 16:46:04,796 | INFO | celeba_ood | ======================================================================
2026-06-12 16:46:17,639 | INFO | celeba_ood | Train pos rates: Male=39.0%  Young=79.9%  Smiling=48.7%  Mouth_Slightly_Open=48.4%  High_Cheekbones=46.7%  Pointy_Nose=28.9%  Oval_Face=29.1%
2026-06-12 16:46:17,639 | INFO | celeba_ood | val_ratio=0 → no validation split: 170465 in-dist images train, 18941 held out for test_in (no early stopping, full schedule).
2026-06-12 16:46:17,675 | INFO | celeba_ood | Dataloaders  train=170465  val=0  test_in=18941  test_ood=13193
2026-06-12 16:46:17,676 | INFO | celeba_ood | ######################################################################
2026-06-12 16:46:17,676 | INFO | celeba_ood | # MODEL 1/10   (seed=42)
2026-06-12 16:46:17,676 | INFO | celeba_ood | ######################################################################
2026-06-12 16:46:18,731 | INFO | celeba_ood | Model        : FacialCNN  (1,571,624 params)
2026-06-12 16:46:18,731 | INFO | celeba_ood | ======================================================================
2026-06-12 16:46:18,731 | INFO | celeba_ood | TRAINING — combined CE(gender) + BCE(attrs) loss
2026-06-12 16:46:18,731 | INFO | celeba_ood | ======================================================================
2026-06-12 16:46:18,732 | INFO | celeba_ood | No validation set — running the full 30-epoch schedule with no early stopping; final-epoch weights are kept.
2026-06-12 16:52:10,430 | INFO | celeba_ood | epoch   1/30  train_loss=0.9313  train_gender_acc=95.1%  train_attr_acc=[84.9 87.8 84.4 83.2 73.0 73.3]%  (351.7s)
2026-06-12 16:53:03,595 | INFO | celeba_ood | epoch   2/30  train_loss=0.7421  train_gender_acc=97.7%  train_attr_acc=[87.4 91.8 91.5 87.1 74.7 74.8]%  (53.2s)
2026-06-12 16:53:56,343 | INFO | celeba_ood | epoch   3/30  train_loss=0.6935  train_gender_acc=98.3%  train_attr_acc=[88.4 92.4 92.6 87.6 75.7 75.5]%  (52.7s)
2026-06-12 16:54:49,507 | INFO | celeba_ood | epoch   4/30  train_loss=0.6582  train_gender_acc=98.7%  train_attr_acc=[89.0 92.9 93.1 88.1 76.4 76.0]%  (53.2s)
2026-06-12 16:55:42,651 | INFO | celeba_ood | epoch   5/30  train_loss=0.6248  train_gender_acc=99.2%  train_attr_acc=[89.6 93.3 93.5 88.7 76.8 76.6]%  (53.1s)
2026-06-12 16:56:35,166 | INFO | celeba_ood | epoch   6/30  train_loss=0.5946  train_gender_acc=99.5%  train_attr_acc=[90.2 93.8 94.0 89.1 77.5 77.4]%  (52.5s)
2026-06-12 16:57:28,313 | INFO | celeba_ood | epoch   7/30  train_loss=0.5645  train_gender_acc=99.6%  train_attr_acc=[91.0 94.2 94.5 89.6 78.3 78.1]%  (53.1s)
2026-06-12 16:58:22,143 | INFO | celeba_ood | epoch   8/30  train_loss=0.5309  train_gender_acc=99.7%  train_attr_acc=[91.8 94.6 95.0 90.2 79.1 79.2]%  (53.8s)
2026-06-12 16:59:15,336 | INFO | celeba_ood | epoch   9/30  train_loss=0.4975  train_gender_acc=99.8%  train_attr_acc=[92.7 95.2 95.5 91.0 80.1 80.4]%  (53.2s)
2026-06-12 17:00:08,034 | INFO | celeba_ood | epoch  10/30  train_loss=0.4590  train_gender_acc=99.8%  train_attr_acc=[93.5 95.8 96.1 91.8 81.4 81.8]%  (52.7s)
2026-06-12 17:01:01,406 | INFO | celeba_ood | epoch  11/30  train_loss=0.4204  train_gender_acc=99.8%  train_attr_acc=[94.4 96.2 96.6 92.6 82.8 83.4]%  (53.4s)
2026-06-12 17:01:54,424 | INFO | celeba_ood | epoch  12/30  train_loss=0.3789  train_gender_acc=99.9%  train_attr_acc=[95.2 96.7 97.1 93.4 84.3 85.0]%  (53.0s)
2026-06-12 17:02:47,630 | INFO | celeba_ood | epoch  13/30  train_loss=0.3377  train_gender_acc=99.9%  train_attr_acc=[95.9 97.1 97.5 94.2 85.9 86.8]%  (53.2s)
2026-06-12 17:03:40,971 | INFO | celeba_ood | epoch  14/30  train_loss=0.3017  train_gender_acc=99.9%  train_attr_acc=[96.5 97.4 97.8 94.9 87.6 88.4]%  (53.3s)
2026-06-12 17:04:33,644 | INFO | celeba_ood | epoch  15/30  train_loss=0.2635  train_gender_acc=99.9%  train_attr_acc=[97.0 97.8 98.2 95.6 89.3 90.1]%  (52.7s)
2026-06-12 17:05:26,895 | INFO | celeba_ood | epoch  16/30  train_loss=0.2306  train_gender_acc=99.9%  train_attr_acc=[97.4 98.0 98.4 96.2 90.7 91.5]%  (53.2s)
