2026-07-19 06:48:33,875 | INFO | celeba_ood | [decoders] epoch  10/25  train=0.0231  per_block(train)=[0.0005 0.0016 0.0034 0.0056 0.0119]  (110.3s)
2026-07-19 06:50:24,178 | INFO | celeba_ood | [decoders] epoch  11/25  train=0.0229  per_block(train)=[0.0005 0.0016 0.0034 0.0056 0.0119]  (110.3s)
2026-07-19 06:52:14,469 | INFO | celeba_ood | [decoders] epoch  12/25  train=0.0227  per_block(train)=[0.0005 0.0016 0.0034 0.0055 0.0118]  (110.3s)
2026-07-19 06:54:04,740 | INFO | celeba_ood | [decoders] epoch  13/25  train=0.0226  per_block(train)=[0.0005 0.0016 0.0034 0.0055 0.0117]  (110.3s)
2026-07-19 06:55:55,059 | INFO | celeba_ood | [decoders] epoch  14/25  train=0.0225  per_block(train)=[0.0005 0.0016 0.0034 0.0055 0.0117]  (110.3s)
2026-07-19 06:57:45,356 | INFO | celeba_ood | [decoders] epoch  15/25  train=0.0224  per_block(train)=[0.0005 0.0015 0.0033 0.0055 0.0116]  (110.3s)
2026-07-19 06:59:35,703 | INFO | celeba_ood | [decoders] epoch  16/25  train=0.0223  per_block(train)=[0.0005 0.0015 0.0033 0.0054 0.0115]  (110.3s)
2026-07-19 07:01:25,984 | INFO | celeba_ood | [decoders] epoch  17/25  train=0.0222  per_block(train)=[0.0004 0.0015 0.0033 0.0054 0.0115]  (110.3s)
2026-07-19 07:03:16,295 | INFO | celeba_ood | [decoders] epoch  18/25  train=0.0222  per_block(train)=[0.0004 0.0015 0.0033 0.0054 0.0115]  (110.3s)
2026-07-19 07:05:06,606 | INFO | celeba_ood | [decoders] epoch  19/25  train=0.0221  per_block(train)=[0.0004 0.0015 0.0033 0.0054 0.0114]  (110.3s)
2026-07-19 07:06:56,945 | INFO | celeba_ood | [decoders] epoch  20/25  train=0.0220  per_block(train)=[0.0004 0.0015 0.0033 0.0054 0.0114]  (110.3s)
2026-07-19 07:08:47,281 | INFO | celeba_ood | [decoders] epoch  21/25  train=0.0220  per_block(train)=[0.0004 0.0015 0.0033 0.0054 0.0113]  (110.3s)
2026-07-19 07:10:37,615 | INFO | celeba_ood | [decoders] epoch  22/25  train=0.0219  per_block(train)=[0.0004 0.0015 0.0033 0.0053 0.0113]  (110.3s)
2026-07-19 07:12:27,912 | INFO | celeba_ood | [decoders] epoch  23/25  train=0.0219  per_block(train)=[0.0004 0.0015 0.0033 0.0053 0.0113]  (110.3s)
2026-07-19 07:14:18,177 | INFO | celeba_ood | [decoders] epoch  24/25  train=0.0219  per_block(train)=[0.0004 0.0015 0.0033 0.0053 0.0113]  (110.3s)
2026-07-19 07:16:08,485 | INFO | celeba_ood | [decoders] epoch  25/25  train=0.0218  per_block(train)=[0.0004 0.0015 0.0033 0.0053 0.0112]  (110.3s)
2026-07-19 07:16:08,488 | INFO | celeba_ood | Decoder training done in 2760.4s
2026-07-19 07:16:08,525 | INFO | celeba_ood | ======================================================================
2026-07-19 07:16:08,525 | INFO | celeba_ood | EVALUATION — per-attribute accuracy + OOD AUROC
2026-07-19 07:16:08,525 | INFO | celeba_ood | ======================================================================
2026-07-19 07:16:08,525 | INFO | celeba_ood | Collecting predictions on test_in...
2026-07-19 07:16:58,708 | INFO | celeba_ood |   test_in size = 18941, OOD score (combined entropy) mean = 0.3669
2026-07-19 07:16:58,708 | INFO | celeba_ood | Collecting predictions on test_ood (Eyeglasses)...
2026-07-19 07:17:14,983 | INFO | celeba_ood |   test_ood size = 13193, OOD score (combined entropy) mean = 0.2987
2026-07-19 07:17:15,352 | INFO | celeba_ood | Per-attribute accuracy (in-distribution test set):
2026-07-19 07:17:15,352 | INFO | celeba_ood |   Male/Female : 63.03%
2026-07-19 07:17:15,352 | INFO | celeba_ood |   Arched_Eyebrows       : 75.05%
2026-07-19 07:17:15,352 | INFO | celeba_ood |   Bushy_Eyebrows        : 82.29%
2026-07-19 07:17:15,352 | INFO | celeba_ood |   Narrow_Eyes           : 89.78%
2026-07-19 07:17:15,352 | INFO | celeba_ood |   Bags_Under_Eyes       : 71.26%
2026-07-19 07:17:15,352 | INFO | celeba_ood |   Smiling               : 70.98%
2026-07-19 07:17:15,352 | INFO | celeba_ood |   Young                 : 87.63%
2026-07-19 07:17:15,352 | INFO | celeba_ood | OOD AUROC (in-dist vs Eyeglasses):
2026-07-19 07:17:15,352 | INFO | celeba_ood |   score_msp                AUROC = 0.2602  (in_mean=0.053, ood_mean=0.001)
2026-07-19 07:17:15,352 | INFO | celeba_ood |   score_entropy_gender     AUROC = 0.2958  (in_mean=0.122, ood_mean=0.004)
2026-07-19 07:17:15,352 | INFO | celeba_ood |   score_entropy_attrs      AUROC = 0.6701  (in_mean=0.245, ood_mean=0.295)
2026-07-19 07:17:15,352 | INFO | celeba_ood |   score_entropy_combined   AUROC = 0.4703  (in_mean=0.367, ood_mean=0.299)
2026-07-19 07:18:31,083 | INFO | celeba_ood | Fusion-based AUROC (max-pixel) = 0.6144  (in_mean=1.0311, ood_mean=1.1767)
2026-07-19 07:18:31,083 | INFO | celeba_ood | Wrote per-block plots: per_block_breakdown.png, recons_only.png, activations.png, fusion_overlay.png, fusion_auroc.png
2026-07-19 07:18:31,084 | INFO | celeba_ood | Summary written to outputs/celeba_ood/cp128_20260719_060210_6782570/model_0/summary.json
2026-07-19 07:18:31,086 | INFO | celeba_ood | model 1/8 done in 4502.1s
2026-07-19 07:18:31,095 | INFO | celeba_ood | ######################################################################
2026-07-19 07:18:31,095 | INFO | celeba_ood | # MODEL 2/8   (seed=43, channels=[24, 48, 96, 192, 384], kernel=3)
2026-07-19 07:18:31,095 | INFO | celeba_ood | ######################################################################
2026-07-19 07:18:31,126 | INFO | celeba_ood | Model        : FacialCNN  (887,266 params)
2026-07-19 07:18:31,126 | INFO | celeba_ood | ======================================================================
2026-07-19 07:18:31,126 | INFO | celeba_ood | TRAINING — combined CE(gender) + BCE(attrs) loss
2026-07-19 07:18:31,126 | INFO | celeba_ood | ======================================================================
2026-07-19 07:18:31,126 | INFO | celeba_ood | CutPaste pretext on: {'prob': 0.5, 'area_range': (0.05, 0.15), 'aspect_range': (0.3, 3.3), 'scar_prob': 0.0}  loss_weight=0.5
2026-07-19 07:18:31,126 | INFO | celeba_ood | No validation set — running the full 20-epoch schedule with no early stopping; final-epoch weights are kept.
2026-07-19 07:19:27,425 | INFO | celeba_ood | epoch   1/20  train_loss=1.0370  train_gender_acc=91.9%  train_attr_acc=[75.5 87.8 88.2 80.6 81.0 82.7]%  (56.3s)
2026-07-19 07:20:23,131 | INFO | celeba_ood | epoch   2/20  train_loss=0.7459  train_gender_acc=96.2%  train_attr_acc=[79.6 90.7 88.6 82.4 90.5 85.5]%  (55.7s)
2026-07-19 07:21:19,001 | INFO | celeba_ood | epoch   3/20  train_loss=0.6811  train_gender_acc=97.0%  train_attr_acc=[81.2 91.0 89.2 83.1 91.4 86.7]%  (55.9s)
2026-07-19 07:22:15,543 | INFO | celeba_ood | epoch   4/20  train_loss=0.6412  train_gender_acc=97.4%  train_attr_acc=[82.1 91.4 89.5 83.6 91.9 87.7]%  (56.5s)
2026-07-19 07:23:11,931 | INFO | celeba_ood | epoch   5/20  train_loss=0.6207  train_gender_acc=97.6%  train_attr_acc=[82.7 91.6 89.7 84.2 92.2 87.9]%  (56.4s)
2026-07-19 07:24:09,014 | INFO | celeba_ood | epoch   6/20  train_loss=0.5998  train_gender_acc=97.9%  train_attr_acc=[83.0 91.6 89.9 84.2 92.4 88.4]%  (57.1s)
2026-07-19 07:25:04,777 | INFO | celeba_ood | epoch   7/20  train_loss=0.5893  train_gender_acc=98.1%  train_attr_acc=[83.4 91.8 89.9 84.5 92.6 88.6]%  (55.8s)
2026-07-19 07:26:01,123 | INFO | celeba_ood | epoch   8/20  train_loss=0.5734  train_gender_acc=98.3%  train_attr_acc=[83.8 91.7 90.1 84.7 92.7 88.8]%  (56.3s)
2026-07-19 07:26:56,946 | INFO | celeba_ood | epoch   9/20  train_loss=0.5667  train_gender_acc=98.3%  train_attr_acc=[84.1 91.9 90.1 84.8 92.9 89.0]%  (55.8s)
2026-07-19 07:27:52,813 | INFO | celeba_ood | epoch  10/20  train_loss=0.5554  train_gender_acc=98.5%  train_attr_acc=[84.0 92.2 90.1 85.0 93.0 89.3]%  (55.9s)
2026-07-19 07:28:48,960 | INFO | celeba_ood | epoch  11/20  train_loss=0.5472  train_gender_acc=98.6%  train_attr_acc=[84.3 92.2 90.3 85.2 93.1 89.4]%  (56.1s)
2026-07-19 07:29:44,785 | INFO | celeba_ood | epoch  12/20  train_loss=0.5371  train_gender_acc=98.7%  train_attr_acc=[84.3 92.2 90.3 85.2 93.2 89.5]%  (55.8s)
2026-07-19 07:30:40,326 | INFO | celeba_ood | epoch  13/20  train_loss=0.5289  train_gender_acc=98.9%  train_attr_acc=[84.7 92.2 90.3 85.4 93.4 89.8]%  (55.5s)
2026-07-19 07:31:36,616 | INFO | celeba_ood | epoch  14/20  train_loss=0.5226  train_gender_acc=98.9%  train_attr_acc=[85.0 92.1 90.5 85.4 93.6 89.8]%  (56.3s)
2026-07-19 07:32:32,376 | INFO | celeba_ood | epoch  15/20  train_loss=0.5140  train_gender_acc=99.0%  train_attr_acc=[84.9 92.6 90.5 85.6 93.5 89.9]%  (55.8s)
2026-07-19 07:33:28,265 | INFO | celeba_ood | epoch  16/20  train_loss=0.5074  train_gender_acc=99.1%  train_attr_acc=[85.2 92.4 90.6 85.7 93.7 90.3]%  (55.9s)
2026-07-19 07:34:23,913 | INFO | celeba_ood | epoch  17/20  train_loss=0.5016  train_gender_acc=99.2%  train_attr_acc=[85.3 92.5 90.7 85.8 93.8 90.3]%  (55.6s)
2026-07-19 07:35:19,840 | INFO | celeba_ood | epoch  18/20  train_loss=0.4956  train_gender_acc=99.3%  train_attr_acc=[85.4 92.5 90.8 85.8 93.8 90.6]%  (55.9s)
2026-07-19 07:36:15,895 | INFO | celeba_ood | epoch  19/20  train_loss=0.4870  train_gender_acc=99.3%  train_attr_acc=[85.5 92.7 90.9 86.2 94.0 90.7]%  (56.1s)
2026-07-19 07:37:11,944 | INFO | celeba_ood | epoch  20/20  train_loss=0.4829  train_gender_acc=99.3%  train_attr_acc=[85.7 92.7 90.8 86.3 93.8 90.7]%  (56.0s)
2026-07-19 07:37:11,945 | INFO | celeba_ood | Training done in 1120.8s
2026-07-19 07:37:12,097 | INFO | celeba_ood | ======================================================================
2026-07-19 07:37:12,097 | INFO | celeba_ood | PHASE 2 — training per-block reconstruction decoders
2026-07-19 07:37:12,097 | INFO | celeba_ood | ======================================================================
2026-07-19 07:37:12,098 | INFO | celeba_ood |   decoder L0: in=(C=24, H=64) → out=(3, 128, 128)  params=6,227
2026-07-19 07:37:12,098 | INFO | celeba_ood |   decoder L1: in=(C=48, H=32) → out=(3, 128, 128)  params=24,707
2026-07-19 07:37:12,098 | INFO | celeba_ood |   decoder L2: in=(C=96, H=16) → out=(3, 128, 128)  params=98,531
2026-07-19 07:37:12,098 | INFO | celeba_ood |   decoder L3: in=(C=192, H=8) → out=(3, 128, 128)  params=393,635
2026-07-19 07:37:12,098 | INFO | celeba_ood |   decoder L4: in=(C=384, H=8) → out=(3, 128, 128)  params=1,567,515
2026-07-19 07:39:07,810 | INFO | celeba_ood | [decoders] epoch   1/25  train=0.0468  per_block(train)=[0.0037 0.0042 0.0094 0.0110 0.0186]  (115.7s)
2026-07-19 07:41:03,391 | INFO | celeba_ood | [decoders] epoch   2/25  train=0.0278  per_block(train)=[0.0008 0.0020 0.0046 0.0074 0.0130]  (115.6s)
2026-07-19 07:42:58,919 | INFO | celeba_ood | [decoders] epoch   3/25  train=0.0260  per_block(train)=[0.0007 0.0019 0.0044 0.0070 0.0120]  (115.5s)
2026-07-19 07:44:54,429 | INFO | celeba_ood | [decoders] epoch   4/25  train=0.0250  per_block(train)=[0.0007 0.0018 0.0043 0.0068 0.0115]  (115.5s)
2026-07-19 07:46:49,926 | INFO | celeba_ood | [decoders] epoch   5/25  train=0.0244  per_block(train)=[0.0006 0.0018 0.0042 0.0067 0.0111]  (115.5s)
2026-07-19 07:48:45,498 | INFO | celeba_ood | [decoders] epoch   6/25  train=0.0240  per_block(train)=[0.0006 0.0018 0.0041 0.0066 0.0109]  (115.6s)
2026-07-19 07:50:41,013 | INFO | celeba_ood | [decoders] epoch   7/25  train=0.0236  per_block(train)=[0.0006 0.0017 0.0041 0.0065 0.0107]  (115.5s)
2026-07-19 07:52:36,539 | INFO | celeba_ood | [decoders] epoch   8/25  train=0.0234  per_block(train)=[0.0006 0.0017 0.0041 0.0065 0.0105]  (115.5s)
2026-07-19 07:54:32,006 | INFO | celeba_ood | [decoders] epoch   9/25  train=0.0232  per_block(train)=[0.0006 0.0017 0.0040 0.0064 0.0104]  (115.5s)
2026-07-19 07:56:27,513 | INFO | celeba_ood | [decoders] epoch  10/25  train=0.0230  per_block(train)=[0.0006 0.0017 0.0040 0.0064 0.0103]  (115.5s)
2026-07-19 07:58:22,994 | INFO | celeba_ood | [decoders] epoch  11/25  train=0.0228  per_block(train)=[0.0005 0.0017 0.0040 0.0064 0.0102]  (115.5s)
2026-07-19 08:00:18,481 | INFO | celeba_ood | [decoders] epoch  12/25  train=0.0226  per_block(train)=[0.0005 0.0017 0.0040 0.0063 0.0101]  (115.5s)
2026-07-19 08:02:13,958 | INFO | celeba_ood | [decoders] epoch  13/25  train=0.0225  per_block(train)=[0.0005 0.0017 0.0039 0.0063 0.0101]  (115.5s)
2026-07-19 08:04:09,490 | INFO | celeba_ood | [decoders] epoch  14/25  train=0.0224  per_block(train)=[0.0005 0.0017 0.0039 0.0063 0.0100]  (115.5s)
2026-07-19 08:06:04,979 | INFO | celeba_ood | [decoders] epoch  15/25  train=0.0223  per_block(train)=[0.0005 0.0017 0.0039 0.0063 0.0099]  (115.5s)
